,date,type,operator,fatalities,location,country,year
13422,03-FEB-1977,Convair CV-440-11,Servicio AAreo San Francisco,0.0,near Lagura,Bolivia,1977
13424,06-FEB-1977,Ford 5-AT-B Tri-Motor,Grand Canyon Airlines,0.0,Las Vegas-McCarr...,USA,1977
13426,08-FEB-1977,Curtiss C-46D,Aerolineas Argo,0.0,near San Juan-Isla Gr...,Puerto Rico,1977
13427,09-FEB-1977,Hawker Siddeley HS-748,Bouraq Indonesia,0.0,Ujung Pandang-Ha...,Indonesia,1977
13428,09-FEB-1977,Morane Saulnier (FMA) MS.760 Paris I,Argentine AF,2.0,"Huinca Renanco, CD",Argentina,1977
13429,11-FEB-1977,Avia 14T,CSA,4.0,near Bratislava-Ivank...,Slovakia,1977
13430,13-FEB-1977,DC-9-32,THY,0.0,Izmir-Cigli Air ...,Turkey,1977
13433,15-FEB-1977,Ilyushin Il-18V,"Aeroflot, Uzbekistan",77.0,near Mineralnye Vody ...,Russia,1977
13434,17-FEB-1977,Douglas C-47B (DC-3),SATENA,0.0,Camanaos,Colombia,1977
13435,21-FEB-1977,Lockheed 18 Lodestar,Private,0.0,"Truckee Airport,...",USA,1977
13436,22-FEB-1977,BN-2A-8 Islander,Maya Airways,0.0,Hill Bank,Belize,1977
13437,28-FEB-1977,Dornier Do 28D-2 Skyservant,German AF,0.0,Kaufbeuren,Germany,1977
13438,28-FEB-1977,Douglas C-47A (DC-3),Survair,4.0,"near Salluit Airport,...",Canada,1977
13442,01-MAR-1977,Douglas C-47A (DC-3),Alyemda,19.0,near Aden Internation...,Yemen,1977
13443,02-MAR-1977,Douglas C-47 (DC-3),Transportes AAreos de Nayarit,5.0,AmatlAn de Jora,Mexico,1977
13444,03-MAR-1977,Lockheed C-130H Hercules,Italian AF,44.0,near Pisa-Arturo dell...,Italy,1977
13445,04-MAR-1977,Boeing KC-135A,USAF,0.0,Rome-Griffiss AF...,USA,1977
13446,04-MAR-1977,DC-8-63CF,ONA,2.0,Niamey,Niger,1977
13447,04-MAR-1977,Douglas C-54E (DC-4),Interamerica Air Lease,0.0,"Monroe Station, FL",USA,1977
13449,07-MAR-1977,Canadair CL-215,Spanish AF,0.0,Fuenterrabia,Spain,1977
13450,14-MAR-1977,Boeing 727-256,Iberia,0.0,ZA14rich-Kloten A...,Switzerland,1977
13454,17-MAR-1977,Boeing 707-436,British Airtours,0.0,Glasgow-Prestwic...,U.K.,1977
13455,17-MAR-1977,Douglas DC-3-201A,private,0.0,"near LaBelle, FL",USA,1977
13456,18-MAR-1977,Antonov An-2R,"Aeroflot, Uzbekistan",2.0,near Forish,Uzbekistan,1977
13457,19-MAR-1977,Boeing 727-2F2,THY,0.0,Beirut Internati...,Lebanon,1977
13459,25-MAR-1977,Douglas C-53-DO (DC-3),Island Traders,0.0,St. Thomas,U.S. Virgin Isl.,1977
13460,27-MAR-1977,Boeing 747-121,Pan Am,335.0,Tenerife-Los Rod...,Spain,1977
13461,27-MAR-1977,Boeing 747-206B,KLM,248.0,Tenerife-Los Rod...,Spain,1977
13462,28-MAR-1977,Douglas C-47A (DC-3),"Pinehurst Airlines, op.for Emery Worldwide",0.0,Chicago-O'Hare I...,USA,1977
